Cell #,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Cell 156,0.000003,0.001197,0.029385,0.149824,0.36694,0.378364,0.072952,0.001331,0.000006
Cell 157,0,0.000007,0.002215,0.050772,0.332698,0.189025,0.168498,0.255806,0.000978
Cell 158,0.000002,0.012994,0.219904,0.503838,0.263262,0,0,0,0
Cell 159,0.000015,0.01724,0.270731,0.459675,0.252339,0,0,0,0
Cell 160,0,0.000342,0.017697,0.232949,0.281963,0.41074,0.055325,0.000961,0.000023
Cell 161,0.000017,0.005763,0.08661,0.257521,0.307098,0.305696,0.036912,0.000382,0.000001
Cell 162,0,0,0.000012,0.001634,0.011433,0.136199,0.545416,0.259093,0.046214
Cell 163,0.000191,0.011052,0.135924,0.382214,0.470618,0,0,0,0
Cell 164,0,0.000001,0.000351,0.024307,0.092589,0.488764,0.322676,0.060178,0.011133
Cell 165,0,0.000001,0.000281,0.023141,0.084709,0.29971,0.380206,0.20075,0.011202
Cell 166,0,0.000002,0.001489,0.22597,0.772539,0,0,0,0
Cell 167,0.029251,0.319268,0.538424,0.103877,0.009177,0.000002,0,0,0
Cell 168,0,0.00027,0.022725,0.485543,0.486411,0.00505,0,0,0
Cell 169,0,0.000955,0.036197,0.21131,0.365812,0.319681,0.065134,0.000908,0.000003
Cell 170,0,0,0,0.000253,0.002483,0.083311,0.597154,0.279659,0.03714
Cell 171,0.000419,0.156176,0.430592,0.35806,0.052803,0.001948,0.000002,0,0
Cell 172,0.831836,0.163504,0.004652,0.000007,0,0,0,0,0
Cell 173,0.000004,0.003016,0.065827,0.175439,0.466283,0.257851,0.031358,0.000218,0.000005
Cell 174,0,0.000014,0.006298,0.350988,0.560347,0.082353,0,0,0
Cell 175,0,0,0,0.000098,0.001671,0.059605,0.483127,0.354519,0.100981
Cell 176,0,0.000002,0.000491,0.014924,0.114267,0.370199,0.380345,0.057227,0.062543
Cell 177,0,0,0.000008,0.001412,0.010149,0.21346,0.612953,0.100759,0.06126
Cell 178,0,0,0.000002,0.000689,0.007265,0.208515,0.634297,0.090495,0.058736
Cell 179,0,0.000005,0.003722,0.243402,0.75287,0,0,0,0
Cell 180,0,0.00009,0.001895,0.029186,0.04952,0.539997,0.363335,0.011823,0.004154
Cell 181,0,0.000458,0.017765,0.135086,0.319534,0.372328,0.145967,0.008852,0.00001
Cell 182,0.000008,0.012973,0.265072,0.447332,0.274614,0,0,0,0
Cell 183,0,0.000685,0.025128,0.16166,0.344216,0.353496,0.110949,0.003863,0.000003
Cell 184,0.000048,0.025077,0.018936,0.954543,0.001396,0,0,0,0
Cell 185,0,0.000006,0.001368,0.031622,0.152755,0.339294,0.376048,0.097224,0.001684
Cell 186,0,0.000004,0.001387,0.03918,0.18009,0.251479,0.29205,0.23559,0.000219
Cell 187,0.000001,0.001427,0.051733,0.220421,0.430189,0.267617,0.028422,0.00019,0
Cell 188,0.000893,0.154069,0.47492,0.299757,0.06127,0.008938,0.000153,0,0
Cell 189,0,0.000002,0.000749,0.02105,0.116313,0.293862,0.392121,0.173376,0.002526
Cell 190,0,0.001793,0.063446,0.283571,0.442221,0.18041,0.028281,0.000277,0
Cell 191,0,0.000001,0.000101,0.009991,0.052909,0.269777,0.419072,0.187502,0.060649
Cell 192,0,0.000042,0.005312,0.071154,0.266591,0.460501,0.185277,0.010671,0.000452
Cell 193,0.000001,0.001378,0.043783,0.240935,0.400342,0.244842,0.06723,0.001481,0.000008
Cell 194,0.000405,0.191864,0.609703,0.089953,0.108074,0,0,0,0
Cell 195,0,0.000066,0.004604,0.07895,0.224387,0.416358,0.247139,0.028481,0.000015
Cell 196,0.000034,0.020851,0.294041,0.532765,0.15231,0,0,0,0
Cell 197,0,0.001069,0.029217,0.227323,0.431632,0.263749,0.044825,0.001988,0.000196
Cell 198,0,0,0.000105,0.011567,0.056449,0.30785,0.45366,0.138245,0.032122
Cell 199,0.001172,0.139238,0.492272,0.293426,0.07141,0.002479,0.000003,0,0
Cell 200,0.008731,0.320327,0.476001,0.168241,0.025672,0.001025,0.000004,0,0
Cell 201,0,0,0.000002,0.001227,0.01356,0.220424,0.461844,0.164153,0.13879
Cell 202,0,0.000001,0.00011,0.009118,0.038821,0.267528,0.489859,0.131441,0.063122
Cell 203,0,0,0.000026,0.008816,0.053247,0.367062,0.459684,0.088024,0.02314
Cell 204,0,0,0.000003,0.001262,0.012453,0.204785,0.529972,0.188628,0.062897
Cell 205,0,0.000002,0.001147,0.037065,0.217633,0.271884,0.369289,0.09386,0.00912
Cell 206,0.000003,0.000347,0.010808,0.096232,0.29116,0.400318,0.187864,0.013212,0.000056
Cell 207,0,0.000036,0.005124,0.071009,0.313938,0.29018,0.244386,0.074381,0.000947
Cell 208,0,0.000079,0.005624,0.098922,0.219696,0.264591,0.264401,0.143538,0.003147
Cell 209,0,0.000087,0.0091,0.106274,0.418139,0.287962,0.149794,0.025853,0.00279
Cell 210,0,0.000238,0.011935,0.124472,0.336026,0.286626,0.199638,0.040942,0.000124
Cell 211,0,0.000001,0.000711,0.025278,0.156945,0.266325,0.37634,0.174225,0.000174
Cell 212,0,0.000039,0.003202,0.065925,0.247273,0.354423,0.278952,0.038191,0.011994
Cell 213,0,0.000062,0.02131,0.138546,0.467792,0.309057,0.060094,0.002942,0.000199
Cell 214,0,0.000025,0.002384,0.055869,0.105617,0.373342,0.331095,0.114181,0.017487
Cell 215,0.000045,0.031999,0.383827,0.522499,0.06156,0.000069,0,0,0
Cell 216,0.000001,0.008313,0.232278,0.565179,0.19407,0.000159,0,0,0
Cell 217,0.000149,0.05983,0.362422,0.403676,0.126711,0.045439,0.001769,0.000004,0
Cell 218,0.000526,0.138998,0.515785,0.284016,0.059445,0.00123,0.000001,0,0
Cell 219,0,0.00017,0.007953,0.100805,0.195564,0.388211,0.261633,0.045327,0.000338
Cell 220,0.007277,0.423964,0.497643,0.054086,0.017029,0,0,0,0
Cell 221,0.000001,0.003227,0.080339,0.340612,0.392404,0.17185,0.011511,0.000056,0
Cell 222,0.064799,0.409104,0.462622,0.057848,0.005579,0.000048,0,0,0
Cell 223,0,0,0,0.000276,0.003328,0.096628,0.60304,0.251372,0.045356
Cell 224,0.090165,0.451137,0.416346,0.039125,0.003227,0,0,0,0
Cell 225,0.000014,0.000999,0.056713,0.481597,0.432199,0.028478,0,0,0
Cell 226,0,0,0,0.000168,0.002436,0.072077,0.495437,0.336123,0.093759
Cell 227,0,0.00145,0.059566,0.235641,0.703343,0,0,0,0
Cell 228,0,0.000043,0.004123,0.06928,0.250826,0.330718,0.28809,0.056829,0.000091
Cell 229,0,0.000016,0.003997,0.311226,0.68476,0,0,0,0
Cell 230,0.000361,0.05083,0.022535,0.924441,0.001833,0,0,0,0
Cell 231,0,0.000011,0.001382,0.049189,0.186947,0.268014,0.335221,0.133856,0.02538
Cell 232,0,0.000001,0.000591,0.02375,0.137399,0.209835,0.336864,0.290918,0.000641
Cell 233,0,0.000502,0.020611,0.161901,0.39962,0.282708,0.122256,0.012396,0.000006
Cell 234,0.00001,0.019534,0.289537,0.385609,0.305309,0,0,0,0
Cell 235,0,0.000571,0.016781,0.152378,0.319006,0.304513,0.182054,0.0244,0.000296
Cell 236,0,0.000019,0.003519,0.067133,0.387437,0.250544,0.183753,0.097399,0.010197
Cell 237,0,0,0.000288,0.177506,0.791408,0.030798,0,0,0
Cell 238,0,0,0.000007,0.001871,0.016214,0.125444,0.323285,0.399996,0.133183
Cell 239,0.000002,0.005334,0.114148,0.345749,0.424256,0.100998,0.009395,0.000118,0
Cell 240,0,0,0.000003,0.001166,0.013934,0.147297,0.450675,0.287407,0.099519
Cell 241,0,0,0,0.000421,0.006616,0.056958,0.265071,0.508726,0.162208
Cell 242,0,0.000052,0.007435,0.123855,0.454398,0.202889,0.168655,0.042406,0.000309
Cell 243,0,0,0.000021,0.003592,0.039262,0.119437,0.262957,0.284044,0.290687
Cell 244,0,0,0.000001,0.000716,0.010651,0.102199,0.434953,0.329123,0.122357
Cell 245,0.000031,0.068394,0.457179,0.410054,0.063543,0.000798,0.000001,0,0
Cell 246,0,0.000001,0.001991,0.22259,0.689321,0.086097,0,0,0
Cell 247,0,0,0.00004,0.011533,0.084866,0.152453,0.265311,0.361638,0.12416
Cell 248,0,0,0.000969,0.239486,0.707077,0.052467,0,0,0
Cell 249,0,0.00011,0.009549,0.052606,0.270549,0.521517,0.140302,0.005359,0.000009
Cell 250,0.000004,0.008013,0.143823,0.470528,0.341186,0.035683,0.000764,0,0
Cell 251,0,0,0.000026,0.003874,0.037553,0.248971,0.510826,0.145609,0.053141
Cell 252,0,0.000001,0.000583,0.346065,0.591606,0.061744,0,0,0
Cell 253,0.007043,0.30518,0.519149,0.163202,0.005426,0,0,0,0
Cell 254,0,0,0.000002,0.000744,0.009556,0.079527,0.278077,0.49271,0.139384
