Cell #,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Cell 385,0.000385,0.111908,0.417736,0.395051,0.072538,0.002378,0.000005,0,0
Cell 386,0.000068,0.034329,0.339566,0.405316,0.210181,0.010515,0.000025,0,0
Cell 387,0.000004,0.005716,0.102644,0.507099,0.345815,0.038722,0,0,0
Cell 388,0.000172,0.038833,0.264934,0.373146,0.261622,0.059978,0.001315,0,0
Cell 389,0,0.000589,0.019087,0.15214,0.329895,0.340789,0.146077,0.011337,0.000086
Cell 390,0.000338,0.029231,0.384306,0.417188,0.165987,0.00295,0,0,0
Cell 391,0,0.000003,0.000645,0.178405,0.394822,0.426124,0,0,0
Cell 392,0.905104,0.093072,0.001027,0.000516,0.000281,0,0,0,0
Cell 393,0,0.000002,0.000911,0.026909,0.183091,0.347716,0.290013,0.125722,0.025636
Cell 394,0.000152,0.041647,0.352897,0.312116,0.244235,0.04892,0.000034,0,0
Cell 395,0,0,0,0.008891,0.034822,0.411972,0.360966,0.10469,0.078658
Cell 396,0,0.000003,0.001774,0.279377,0.718846,0,0,0,0
Cell 397,0.000984,0.070258,0.309915,0.414245,0.184797,0.019063,0.000737,0.000001,0
Cell 398,0,0.000095,0.007628,0.082359,0.284171,0.423946,0.190596,0.01119,0.000015
Cell 399,0.000305,0.125642,0.467351,0.323481,0.082257,0.000956,0.000008,0,0
Cell 400,0.001243,0.132057,0.425148,0.230035,0.143794,0.067543,0.000179,0,0
Cell 401,0,0.000486,0.018682,0.0906,0.312277,0.496083,0.08092,0.000948,0.000006
Cell 402,0,0.000022,0.002185,0.368,0.604342,0.025452,0,0,0
Cell 403,0.000043,0.041812,0.339138,0.459708,0.153429,0.005848,0.000022,0,0
Cell 404,0,0,0.000003,0.000851,0.008953,0.186172,0.657166,0.116414,0.030441
Cell 405,0,0,0.000003,0.000976,0.007881,0.179024,0.692368,0.102212,0.017536
Cell 406,0,0.000221,0.016912,0.495662,0.487204,0,0,0,0
Cell 407,0,0,0.000002,0.000776,0.005864,0.131508,0.617632,0.213831,0.030387
Cell 408,0,0,0.000011,0.001848,0.008429,0.159824,0.609402,0.184716,0.03577
Cell 409,0,0.000129,0.010603,0.111601,0.362968,0.334201,0.166504,0.013953,0.000041
Cell 410,0.003995,0.208662,0.520894,0.18885,0.073195,0.004403,0.000002,0,0
Cell 411,0.022118,0.302929,0.520018,0.138526,0.016409,0,0,0,0
Cell 412,0.000001,0.001489,0.041394,0.200082,0.404193,0.274112,0.076747,0.001977,0.000004
Cell 413,0.999994,0.000003,0.000002,0,0.000001,0,0,0,0
Cell 414,0,0,0.000001,0.00029,0.003207,0.050317,0.359947,0.508949,0.07729
Cell 415,0,0.000063,0.011216,0.416241,0.572481,0,0,0,0
Cell 416,0.987605,0.012386,0.000008,0,0,0,0,0,0
Cell 417,0,0.002158,0.056634,0.287479,0.421557,0.205517,0.025827,0.000825,0.000003
Cell 418,0.000131,0.031507,0.306166,0.419141,0.216009,0.026916,0.000131,0,0
Cell 419,0,0.001311,0.037314,0.207025,0.326061,0.34378,0.082172,0.00233,0.000006
Cell 420,0.000281,0.070254,0.368408,0.441704,0.111245,0.007769,0.00034,0,0
Cell 421,0,0,0,0.000192,0.002391,0.058737,0.417411,0.454012,0.067256
Cell 422,0,0.000045,0.00647,0.072136,0.366852,0.267748,0.166416,0.120258,0.000075
Cell 423,0,0,0.000014,0.001919,0.011623,0.124388,0.491046,0.319586,0.051424
Cell 424,0.169856,0.536602,0.268793,0.023797,0.000952,0,0,0,0
Cell 425,0,0.000177,0.011715,0.407031,0.581077,0,0,0,0
Cell 426,0,0.000002,0.000817,0.23268,0.766501,0,0,0,0
Cell 427,0,0.000003,0.00063,0.028812,0.047064,0.483548,0.357202,0.054445,0.028295
Cell 428,0.00869,0.378964,0.463481,0.123842,0.024522,0.000502,0,0,0
Cell 429,0.029159,0.615561,0.324921,0.028133,0.002226,0,0,0,0
Cell 430,0.000004,0.001371,0.021241,0.249623,0.286,0.381515,0.059746,0.000456,0.000044
Cell 431,0.000024,0.017684,0.231475,0.406574,0.312189,0.031569,0.000484,0,0
Cell 432,0.000025,0.020665,0.242349,0.439984,0.266512,0.029847,0.000618,0,0
Cell 433,0,0,0.000083,0.00859,0.046461,0.3688,0.455995,0.088055,0.032017
Cell 434,0,0.000015,0.005122,0.372043,0.608254,0.014566,0,0,0
Cell 435,0,0,0.000002,0.000487,0.005059,0.10663,0.520626,0.277734,0.089462
Cell 436,0,0,0.000025,0.003389,0.043055,0.41748,0.433638,0.065653,0.036761
Cell 437,0.000001,0.002198,0.052871,0.247484,0.365857,0.295058,0.036347,0.000184,0
Cell 438,0,0.000001,0.000183,0.012407,0.056488,0.481543,0.376099,0.048708,0.024572
Cell 439,0,0.00023,0.015082,0.475327,0.509362,0,0,0,0
Cell 440,0,0,0.000001,0.000409,0.004127,0.128763,0.630981,0.195827,0.039892
Cell 441,0,0.000063,0.002162,0.050477,0.082996,0.77093,0.09007,0.001654,0.001648
Cell 442,0,0,0,0.000319,0.00457,0.189735,0.603418,0.137925,0.064031
Cell 443,0,0,0.000004,0.00116,0.012658,0.076774,0.285107,0.472022,0.152276
Cell 444,0.000635,0.129463,0.45606,0.327092,0.082663,0.00408,0.000006,0,0
Cell 445,0,0,0.000025,0.003497,0.033302,0.25326,0.464613,0.189267,0.056036
Cell 446,0.002341,0.122426,0.552996,0.292455,0.029778,0.000004,0,0,0
Cell 447,0,0,0.000013,0.002761,0.020278,0.203371,0.473393,0.214359,0.085825
Cell 448,0.392197,0.537653,0.069432,0.000707,0.000011,0,0,0,0
Cell 449,0,0,0.000006,0.001553,0.011615,0.195367,0.661087,0.113587,0.016785
Cell 450,0,0,0.000008,0.00113,0.009562,0.085505,0.420866,0.403993,0.078935
Cell 451,0,0.000035,0.003218,0.062949,0.176363,0.454863,0.269574,0.032807,0.000192
Cell 452,0,0.000038,0.002825,0.055317,0.176355,0.50296,0.24557,0.015762,0.001173
Cell 453,0.005026,0.230837,0.504745,0.217335,0.042056,0,0,0,0
Cell 454,0,0,0.000021,0.003633,0.033171,0.334577,0.465168,0.11779,0.04564
Cell 455,0,0.000002,0.001145,0.04611,0.180765,0.352686,0.338966,0.080286,0.000041
Cell 456,0.000452,0.057366,0.31344,0.420976,0.188158,0.018832,0.000773,0.000002,0
Cell 457,0,0.00037,0.015073,0.161299,0.348538,0.257746,0.186585,0.030341,0.000048
Cell 458,0,0.000003,0.000324,0.020471,0.082674,0.456564,0.37997,0.045654,0.01434
Cell 459,0,0.000037,0.002524,0.052283,0.143033,0.629985,0.16467,0.00518,0.002289
Cell 460,0,0,0.000071,0.007891,0.059741,0.435466,0.455501,0.029801,0.011528
Cell 461,0,0,0.000002,0.001285,0.014109,0.130422,0.380018,0.343083,0.131081
Cell 462,0.007866,0.309638,0.463032,0.188595,0.029894,0.000972,0.000003,0,0
Cell 463,0.022934,0.391728,0.500754,0.081376,0.003207,0,0,0,0
Cell 464,0,0,0,0.000044,0.001455,0.014664,0.03737,0.567023,0.379443
Cell 465,0,0,0.000001,0.000119,0.002482,0.019298,0.106569,0.630216,0.241315
Cell 466,0,0,0.000026,0.004323,0.032237,0.41075,0.434446,0.070749,0.047468
Cell 467,0.018165,0.44881,0.485938,0.040623,0.006464,0,0,0,0
Cell 468,0,0,0.000018,0.004398,0.024429,0.290292,0.531566,0.109799,0.039499
Cell 469,0.011464,0.203625,0.549717,0.204225,0.030969,0,0,0,0
Cell 470,0.000611,0.116195,0.532399,0.312956,0.035197,0.002637,0.000004,0,0
Cell 471,0,0,0.000008,0.001971,0.0206,0.228676,0.566329,0.141918,0.040496
Cell 472,0.000006,0.016676,0.195399,0.398935,0.313972,0.06914,0.005798,0.000074,0
Cell 473,0,0,0.000051,0.00589,0.041492,0.423386,0.435443,0.056101,0.037636
Cell 474,0.098391,0.45999,0.390745,0.046087,0.004788,0,0,0,0
Cell 475,0,0.00005,0.004557,0.071022,0.253738,0.504434,0.159659,0.006538,0.000004
Cell 476,0,0,0.00001,0.002984,0.019438,0.313175,0.451419,0.118271,0.094702
Cell 477,0.88357,0.116201,0.000158,0.000036,0.000036,0,0,0,0
Cell 478,0.00178,0.126434,0.558376,0.289944,0.023462,0.000003,0,0,0
Cell 479,0.000202,0.122509,0.431095,0.314727,0.124213,0.007117,0.000136,0,0
Cell 480,0.000466,0.151893,0.446598,0.299592,0.097416,0.003969,0.000066,0,0
Cell 481,0,0.000017,0.001311,0.020107,0.131018,0.7248,0.119139,0.002954,0.000656
Cell 482,0.121431,0.509734,0.313243,0.049221,0.006124,0.000247,0.000001,0,0
Cell 483,0,0,0.0001,0.006025,0.077708,0.294011,0.236503,0.316842,0.068811
Cell 484,0.000147,0.031777,0.270977,0.364369,0.307813,0.024657,0.000261,0,0
Cell 485,0.004218,0.343434,0.571289,0.076501,0.004475,0.000084,0.000001,0,0
Cell 486,0.026139,0.387409,0.45195,0.119831,0.013989,0.000676,0.000006,0,0
Cell 487,0,0,0.000003,0.001061,0.008473,0.161881,0.638267,0.168824,0.021492
Cell 488,0.012598,0.280412,0.432671,0.21736,0.054849,0.002085,0.000025,0,0
Cell 489,0,0,0,0.000147,0.002006,0.077859,0.543208,0.324455,0.052324
Cell 490,0,0,0,0.000326,0.003493,0.106753,0.568029,0.274021,0.047378
Cell 491,0.08235,0.518752,0.35145,0.046315,0.001133,0,0,0,0
Cell 492,0.008733,0.297755,0.489671,0.162561,0.040053,0.001227,0.000001,0,0
Cell 493,0.000017,0.018352,0.368017,0.378688,0.227558,0.007179,0.00019,0,0
Cell 494,0,0.000006,0.001271,0.284767,0.713956,0,0,0,0
Cell 495,0.001802,0.192276,0.444373,0.27833,0.080268,0.002916,0.000036,0,0
Cell 496,0,0.000001,0.000083,0.009106,0.03678,0.467404,0.432841,0.032999,0.020787
Cell 497,0.999394,0.000005,0.000413,0.000188,0,0,0,0,0
Cell 498,0,0.000002,0.000786,0.242186,0.711027,0.046,0,0,0
Cell 499,0,0.001378,0.031161,0.17848,0.285236,0.407683,0.093384,0.002676,0.000003
Cell 500,0,0.000013,0.001334,0.034896,0.17227,0.49902,0.260488,0.031868,0.000111
Cell 501,0,0,0.000151,0.029641,0.111274,0.858933,0,0,0
Cell 502,0,0,0.000009,0.001495,0.011641,0.234157,0.581,0.130834,0.040864
Cell 503,0.009725,0.265419,0.536281,0.119815,0.0641,0.004655,0.000005,0,0
Cell 504,0.000002,0.002545,0.099385,0.624829,0.273239,0,0,0,0
Cell 505,0,0.001499,0.068413,0.270639,0.497671,0.143855,0.01776,0.000162,0
Cell 506,0.007102,0.362209,0.508076,0.116766,0.005731,0.000117,0,0,0
Cell 507,0.000227,0.046528,0.366025,0.396688,0.183501,0.007005,0.000026,0,0
Cell 508,0,0.000001,0.000092,0.005499,0.031614,0.278989,0.601602,0.067302,0.014901
Cell 509,0,0.000002,0.000311,0.020314,0.125575,0.375861,0.356336,0.085791,0.03581
Cell 510,0.027214,0.399268,0.478197,0.090026,0.005295,0,0,0,0
Cell 511,0,0,0.000008,0.002476,0.017417,0.393034,0.560669,0.021035,0.005361
Cell 512,0.000284,0.038541,0.257795,0.365669,0.274848,0.061426,0.001436,0.000001,0
Cell 513,0,0,0,0.000242,0.002538,0.036312,0.309491,0.513706,0.137711
Cell 514,0,0,0.000051,0.003853,0.024731,0.17069,0.574438,0.177554,0.048683
Cell 515,0,0,0.000013,0.00316,0.022651,0.220293,0.484835,0.209001,0.060046
Cell 516,0,0,0.000007,0.002086,0.018463,0.246761,0.574218,0.110848,0.047618
Cell 517,0,0,0.000009,0.002465,0.014799,0.236063,0.529577,0.149965,0.067122
Cell 518,0.017036,0.714803,0.258731,0.008895,0.000534,0,0,0,0
Cell 519,0,0,0.000032,0.005843,0.039473,0.228701,0.401974,0.257127,0.06685
Cell 520,0,0,0,0.000137,0.001773,0.025843,0.240943,0.600155,0.131148
Cell 521,0,0.00001,0.001624,0.341078,0.657287,0,0,0,0
Cell 522,0.000001,0.001605,0.043723,0.241637,0.429043,0.251825,0.031973,0.000192,0.000001
Cell 523,0,0,0,0.000141,0.001719,0.071243,0.541558,0.320755,0.064584
Cell 524,0.000166,0.060207,0.37786,0.464545,0.097222,0,0,0,0
Cell 525,0.006115,0.250447,0.460014,0.232892,0.049337,0.001191,0.000005,0,0
Cell 526,0.000084,0.037865,0.382436,0.351921,0.214913,0.012505,0.000276,0,0
Cell 527,0.00523,0.335922,0.48165,0.160181,0.016623,0.000394,0,0,0
Cell 528,0,0.000001,0.000122,0.01052,0.058193,0.407103,0.422586,0.069467,0.032008
Cell 529,0,0,0.000045,0.004871,0.02781,0.117232,0.274927,0.472211,0.102903
Cell 530,0.000001,0.002838,0.059771,0.3223,0.388759,0.195766,0.030107,0.000459,0
Cell 531,0,0.000016,0.004233,0.35602,0.597988,0.041743,0,0,0
Cell 532,0,0,0.000007,0.003867,0.022527,0.190826,0.390598,0.293807,0.098367
Cell 533,0.000044,0.024877,0.301206,0.593798,0.079917,0.000158,0,0,0
Cell 534,0,0,0.000012,0.002821,0.023247,0.431122,0.445382,0.055269,0.042147
Cell 535,0,0.000007,0.00033,0.016296,0.065197,0.447195,0.41419,0.033206,0.02358
Cell 536,0,0.000004,0.001816,0.228676,0.684908,0.084597,0,0,0
Cell 537,0.000046,0.115885,0.47004,0.286491,0.124123,0.003371,0.000044,0,0
Cell 538,0.236935,0.564986,0.185771,0.011744,0.000564,0,0,0,0
Cell 539,0.74886,0.250556,0.000464,0.000116,0.000003,0.000001,0,0,0
Cell 540,0,0,0.000008,0.001762,0.017465,0.366196,0.514269,0.065782,0.034518
Cell 541,0,0,0.000008,0.002921,0.02136,0.214865,0.464577,0.219241,0.077028
Cell 542,0,0.001329,0.030147,0.370525,0.597999,0,0,0,0
Cell 543,0.586383,0.365658,0.044673,0.002579,0.000668,0.000039,0,0,0
Cell 544,0,0.002913,0.076387,0.539235,0.381465,0,0,0,0
Cell 545,0.000024,0.035724,0.334138,0.449744,0.175518,0.004835,0.000016,0,0
Cell 546,0,0,0.000002,0.000732,0.008136,0.097457,0.354738,0.399126,0.139811
Cell 547,0,0,0.000002,0.000531,0.005679,0.130805,0.636364,0.188529,0.03809
Cell 548,0,0.000001,0.000045,0.005394,0.020835,0.191529,0.614227,0.139034,0.028936
Cell 549,0.00281,0.25677,0.504142,0.197485,0.037209,0.001581,0.000002,0,0
Cell 550,0,0.000001,0.000065,0.004524,0.024414,0.160327,0.503972,0.255287,0.05141
Cell 551,0.000365,0.158299,0.481345,0.294127,0.064922,0.000942,0.000001,0,0
Cell 552,0,0,0,0.000082,0.000928,0.028123,0.325495,0.561284,0.084088
Cell 553,0.001361,0.143513,0.465969,0.299422,0.08782,0.001912,0.000003,0,0
Cell 554,0.00151,0.171443,0.555493,0.232723,0.038244,0.000586,0.000001,0,0
Cell 555,0.000082,0.028607,0.412019,0.414139,0.145152,0,0,0,0
Cell 556,0.000002,0.000061,0.009912,0.323706,0.66632,0,0,0,0
Cell 557,0.001841,0.236476,0.637009,0.112759,0.011915,0,0,0,0
Cell 558,0.001849,0.118835,0.538504,0.286181,0.053931,0.000699,0,0,0
Cell 559,0,0.000848,0.029338,0.197466,0.332203,0.331304,0.10399,0.004851,0
Cell 560,0,0.000603,0.028899,0.422643,0.547855,0,0,0,0
Cell 561,0,0,0,0.000046,0.000816,0.024145,0.340718,0.525357,0.108918
Cell 562,0,0.000005,0.0009,0.043544,0.220711,0.531869,0.197545,0.004694,0.000733
Cell 563,0,0.000003,0.001635,0.033996,0.274291,0.265185,0.216683,0.148302,0.059905
Cell 564,0,0.000061,0.001401,0.066953,0.149976,0.484978,0.289537,0.005492,0.001602
Cell 565,0.000001,0.002306,0.100108,0.564599,0.331174,0.001812,0,0,0
Cell 566,0.000021,0.014742,0.188523,0.512091,0.284624,0,0,0,0
Cell 567,0,0,0,0.000167,0.001909,0.065475,0.460092,0.369632,0.102725
Cell 568,0,0.000017,0.002429,0.065006,0.208967,0.492196,0.212534,0.018835,0.000015
Cell 569,0.046164,0.465802,0.442648,0.043784,0.001602,0.000001,0,0,0
Cell 570,0.265271,0.547391,0.182502,0.004793,0.000043,0,0,0,0
Cell 571,0,0,0.000029,0.002813,0.012042,0.113233,0.443441,0.353804,0.074637
Cell 572,0.031064,0.392838,0.417564,0.136064,0.021932,0.000538,0.000001,0,0
Cell 573,0,0,0.000003,0.000399,0.005877,0.097709,0.518038,0.244023,0.133952
Cell 574,0,0,0.000009,0.003061,0.024912,0.200503,0.502106,0.173062,0.096347
Cell 575,0,0,0.000024,0.001998,0.016229,0.147126,0.576509,0.196545,0.061568
Cell 576,0.000001,0.000898,0.03083,0.434453,0.533819,0,0,0,0
Cell 577,0.000002,0.004209,0.092719,0.32131,0.457943,0.114166,0.009625,0.000026,0
Cell 578,0,0.000002,0.000177,0.011107,0.069163,0.620101,0.259913,0.018793,0.020744
Cell 579,0.084284,0.60779,0.268306,0.033917,0.005527,0.000176,0,0,0
Cell 580,0,0.000804,0.030656,0.221962,0.368915,0.234558,0.141743,0.001319,0.000042
Cell 581,0.392606,0.449028,0.151988,0.006106,0.000271,0,0,0,0
Cell 582,0.051795,0.502428,0.366927,0.068757,0.009619,0.000473,0.000001,0,0
Cell 583,0,0.000015,0.001221,0.033769,0.125509,0.438277,0.351659,0.041742,0.007809
Cell 584,0,0.000001,0.000071,0.005703,0.025839,0.163463,0.550499,0.146774,0.107651
Cell 585,0.003214,0.301297,0.561047,0.128176,0.006266,0,0,0,0
Cell 586,0,0,0.000005,0.001338,0.020947,0.308367,0.481904,0.113461,0.073979
Cell 587,0,0,0.000033,0.005151,0.036402,0.471215,0.433051,0.033518,0.020629
Cell 588,0,0,0,0.000243,0.004067,0.170438,0.588246,0.161205,0.0758
Cell 589,0,0.000108,0.014156,0.369841,0.615895,0,0,0,0
Cell 590,0.000015,0.009979,0.173302,0.58537,0.230104,0.00123,0,0,0
Cell 591,0.326294,0.580042,0.091108,0.002496,0.00006,0,0,0,0
Cell 592,0.001351,0.221548,0.460579,0.273531,0.042588,0.000402,0,0,0
Cell 593,0,0.000002,0.000279,0.227872,0.771847,0,0,0,0
Cell 594,0,0,0,0.000269,0.002452,0.079937,0.545241,0.309238,0.062864
Cell 595,0.004719,0.125398,0.5982,0.233582,0.038101,0,0,0,0
Cell 596,0,0,0.000001,0.000597,0.006649,0.243101,0.613296,0.097584,0.038772
Cell 597,0.000303,0.074458,0.380648,0.381078,0.155074,0.008411,0.000028,0,0
Cell 598,0.001142,0.00228,0.510146,0.486372,0.000061,0,0,0,0
Cell 599,0,0,0.000001,0.000584,0.00386,0.073733,0.412223,0.406642,0.102957
Cell 600,0.611833,0.368767,0.019354,0.000045,0,0,0,0,0
Cell 601,0.029485,0.542992,0.361262,0.059551,0.006513,0.000196,0,0,0
Cell 602,0,0,0.000003,0.001007,0.007488,0.123079,0.559385,0.27211,0.036928
Cell 603,0.000001,0.000814,0.063342,0.475079,0.460764,0,0,0,0
Cell 604,0.005999,0.348654,0.49053,0.140203,0.014303,0.000311,0,0,0
Cell 605,0,0,0.000002,0.000527,0.006726,0.259395,0.640425,0.064574,0.028351
Cell 606,0.092128,0.529407,0.317512,0.052715,0.008006,0.000233,0,0,0
Cell 607,0,0,0,0.000046,0.000803,0.029531,0.380114,0.516553,0.072952
Cell 608,0,0.000018,0.006409,0.385348,0.608225,0,0,0,0
Cell 609,0,0,0.000001,0.000261,0.002595,0.03918,0.285416,0.563968,0.108579
Cell 610,0.03272,0.397963,0.41719,0.132013,0.019776,0.000337,0.000001,0,0
Cell 611,0,0.000001,0.000087,0.007267,0.02877,0.353858,0.539133,0.057824,0.013061
Cell 612,0,0.000256,0.030939,0.456153,0.509161,0.003491,0,0,0
Cell 613,0.007007,0.35121,0.455258,0.163611,0.022411,0.000502,0,0,0
Cell 614,0.000057,0.041981,0.372141,0.446093,0.139729,0,0,0,0
Cell 615,0,0,0.000136,0.005778,0.008702,0.175731,0.524539,0.211387,0.073728
Cell 616,0.013943,0.394964,0.441847,0.132681,0.016151,0.000412,0.000002,0,0
Cell 617,0.030005,0.337712,0.418887,0.172061,0.040209,0.001118,0.000008,0,0
Cell 618,0,0,0.000003,0.000961,0.011296,0.132343,0.441113,0.256294,0.15799
Cell 619,0,0,0.000013,0.002434,0.017873,0.204112,0.521793,0.176812,0.076963
Cell 620,0,0,0.000021,0.00565,0.019086,0.132143,0.277092,0.399664,0.166344
Cell 621,0.000674,0.055527,0.303635,0.342471,0.26927,0.028074,0.000348,0,0
Cell 622,0.004859,0.227747,0.477226,0.234808,0.053533,0.001822,0.000005,0,0
Cell 623,0.999713,0.000003,0.000163,0.000122,0,0,0,0,0
Cell 624,0.021315,0.499968,0.405623,0.067857,0.005172,0.000066,0,0,0
Cell 625,0,0.000083,0.021886,0.461156,0.491092,0.025783,0,0,0
Cell 626,0,0.000001,0.001356,0.289993,0.662104,0.046546,0,0,0
Cell 627,0,0,0.000005,0.001193,0.013602,0.09295,0.267272,0.429998,0.19498
Cell 628,0.000005,0.005038,0.092342,0.33076,0.440888,0.110289,0.020302,0.000375,0
Cell 629,0.69753,0.279221,0.02298,0.000264,0.000006,0,0,0,0
Cell 630,0.002023,0.263231,0.483396,0.216199,0.03451,0.00064,0.000001,0,0
Cell 631,0.000001,0.000229,0.004402,0.048093,0.197842,0.60205,0.142293,0.002282,0.002808
Cell 632,0,0.000001,0.000099,0.011,0.064681,0.267676,0.416686,0.210194,0.029664
Cell 633,0,0.000008,0.001972,0.272309,0.651047,0.074665,0,0,0
Cell 634,0,0.00001,0.001483,0.044768,0.23065,0.327597,0.316677,0.061859,0.016956
Cell 635,0.001497,0.099572,0.526985,0.321464,0.050483,0,0,0,0
Cell 636,0,0.000808,0.026363,0.18774,0.229942,0.420984,0.12787,0.00629,0.000003
Cell 637,0.000028,0.013355,0.16977,0.379101,0.346681,0.08773,0.00332,0.000014,0
Cell 638,0,0.002881,0.067005,0.312286,0.479067,0.124057,0.014604,0.0001,0
Cell 639,0,0.000001,0.000189,0.012848,0.093333,0.307795,0.45623,0.086306,0.043298
Cell 640,0,0,0.000001,0.000414,0.005799,0.105213,0.491814,0.282726,0.114034
Cell 641,0.000021,0.017388,0.179946,0.579136,0.222428,0.00108,0,0,0
Cell 642,0.002292,0.270302,0.512583,0.182259,0.032141,0.000422,0,0,0
Cell 643,0.000001,0.002418,0.051206,0.213705,0.37146,0.316473,0.044189,0.000547,0.000001
Cell 644,0.001599,0.125224,0.417315,0.333792,0.108639,0.013243,0.000186,0,0
Cell 645,0,0.000219,0.009554,0.107372,0.310349,0.375761,0.185559,0.010344,0.000841
Cell 646,0.000104,0.178134,0.503967,0.272011,0.045489,0.000294,0,0,0
Cell 647,0.05797,0.549462,0.362843,0.028998,0.000727,0,0,0,0
Cell 648,0,0,0.000022,0.004918,0.026562,0.23794,0.453828,0.198673,0.078057
Cell 649,0,0.001771,0.053166,0.245979,0.40702,0.22627,0.064473,0.001315,0.000005
Cell 650,0,0.000001,0.000251,0.013279,0.078215,0.216428,0.40466,0.249158,0.038008
Cell 651,0.236934,0.559325,0.195481,0.00794,0.00032,0,0,0,0
Cell 652,0,0,0.000002,0.000657,0.004932,0.164554,0.657435,0.125472,0.046948
Cell 653,0,0,0,0.000303,0.002798,0.060637,0.487112,0.338688,0.11046
Cell 654,0.288982,0.544202,0.163506,0.003275,0.000034,0,0,0,0
Cell 655,0.000774,0.206026,0.553541,0.101491,0.138168,0,0,0,0
Cell 656,0.911173,0.088194,0.00039,0.000243,0,0,0,0,0
Cell 657,0,0,0.000004,0.000786,0.006827,0.129892,0.559877,0.233862,0.068752
Cell 658,0.004805,0.157235,0.454304,0.28682,0.094592,0.00222,0.000024,0,0
Cell 659,0.007765,0.215478,0.453899,0.216,0.100145,0.006694,0.000019,0,0
Cell 660,0,0,0.000063,0.00763,0.043538,0.265219,0.429769,0.198103,0.055677
Cell 661,0.01678,0.205503,0.515328,0.202724,0.059665,0,0,0,0
Cell 662,0,0,0.00006,0.109051,0.522017,0.368871,0,0,0
Cell 663,0,0,0.000001,0.000148,0.002127,0.037016,0.298054,0.517752,0.144902
Cell 664,0.003321,0.332533,0.472126,0.17352,0.018363,0.000138,0,0,0
Cell 665,0,0,0,0.000043,0.000707,0.019005,0.266799,0.616596,0.09685
Cell 666,0.000548,0.171098,0.502491,0.269455,0.055549,0.000858,0.000001,0,0
Cell 667,0.000002,0.003487,0.128916,0.594477,0.272355,0.000762,0,0,0
Cell 668,0.058996,0.537113,0.338588,0.060039,0.005175,0.00009,0,0,0
Cell 669,0.000284,0.180115,0.492385,0.254654,0.069532,0.002989,0.000041,0,0
Cell 670,0.000003,0.000163,0.005303,0.054621,0.156262,0.683257,0.096721,0.003578,0.000092
Cell 671,0,0.001437,0.034202,0.188166,0.452573,0.281917,0.041482,0.000222,0.000001
Cell 672,0.000002,0.001908,0.050942,0.170254,0.471428,0.285072,0.020294,0.000095,0.000004
Cell 673,0,0.000139,0.009815,0.140494,0.47569,0.277827,0.091331,0.00395,0.000753
Cell 674,0,0,0,0.000273,0.004187,0.205319,0.599987,0.118266,0.071967
Cell 675,0,0.000066,0.017179,0.318102,0.664653,0,0,0,0
Cell 676,0,0,0.000001,0.000573,0.003201,0.105906,0.584101,0.234994,0.071224
Cell 677,0.082882,0.561853,0.319206,0.034375,0.001685,0,0,0,0
Cell 678,0,0,0.000001,0.000284,0.003384,0.075208,0.590249,0.270043,0.060833
Cell 679,0.00001,0.009382,0.183608,0.535078,0.271142,0.000781,0,0,0
Cell 680,0,0.000004,0.000244,0.012272,0.059401,0.279242,0.563021,0.064041,0.021775
Cell 681,0.175333,0.524358,0.274916,0.024497,0.000897,0,0,0,0
Cell 682,0,0,0.000001,0.000265,0.003443,0.107087,0.631931,0.187615,0.069658
Cell 683,0,0,0,0.000108,0.001404,0.030244,0.358616,0.507237,0.10239
Cell 684,0.063107,0.52231,0.368965,0.043753,0.001865,0,0,0,0
Cell 685,0,0.000088,0.012681,0.125681,0.470534,0.279156,0.095986,0.014424,0.00145
Cell 686,0,0.000022,0.003595,0.072218,0.320731,0.354881,0.212468,0.034805,0.00128
Cell 687,0,0.000009,0.000219,0.005823,0.037707,0.815934,0.134943,0.001487,0.003878
Cell 688,0,0,0.000005,0.001031,0.008377,0.135422,0.623025,0.195396,0.036744
Cell 689,0.064612,0.514123,0.372487,0.046657,0.002121,0,0,0,0
Cell 690,0,0,0.000016,0.002503,0.02402,0.28361,0.477909,0.129669,0.082272
Cell 691,0.000006,0.018985,0.212928,0.453385,0.283202,0.031092,0.000401,0,0
Cell 692,0,0,0.000103,0.010644,0.042331,0.268944,0.445462,0.179276,0.053239
Cell 693,0,0,0.000001,0.000223,0.002958,0.068365,0.49662,0.355736,0.076098
Cell 694,0,0,0.000004,0.000933,0.008142,0.11025,0.605688,0.228142,0.04684
Cell 695,0.040825,0.498093,0.372651,0.075583,0.012662,0.000187,0,0,0
Cell 696,0,0,0.000033,0.002731,0.017132,0.211033,0.595876,0.126976,0.046218
Cell 697,0,0.000004,0.000302,0.009155,0.068928,0.683426,0.21569,0.008817,0.013678
Cell 698,0.771371,0.227292,0.001328,0.000006,0.000003,0,0,0,0
Cell 699,0.025773,0.373796,0.512572,0.083074,0.004785,0,0,0,0
Cell 700,0.015731,0.337584,0.42537,0.190109,0.030693,0.000511,0.000002,0,0
Cell 701,0,0.000009,0.00019,0.008129,0.039728,0.529534,0.400303,0.012696,0.009409
Cell 702,0.253194,0.574177,0.165689,0.006672,0.000269,0,0,0,0
Cell 703,0,0.000009,0.002898,0.082467,0.36608,0.223528,0.235622,0.089256,0.000139
