Gene Symbol,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 1(s.e.m),Layer 2(s.e.m),Layer 3(s.e.m),Layer 4(s.e.m),Layer 5(s.e.m),Layer 6(s.e.m),Layer 7(s.e.m),Layer 8(s.e.m),Layer 9(s.e.m),p-values,q-values
Rabgef1,2.24854E-05,3.53243E-05,3.22308E-05,3.12169E-05,2.65991E-05,2.41728E-05,2.93737E-05,2.51136E-05,2.84926E-05,5.272E-06,7.19128E-06,3.24003E-06,3.47893E-06,2.66466E-06,2.79473E-06,4.27632E-06,3.72568E-06,4.46472E-06,0.004852749,0.019745365
Rabggta,2.69575E-05,2.19538E-05,2.3665E-05,2.5516E-05,2.56623E-05,2.62548E-05,2.39166E-05,2.4071E-05,2.73238E-05,6.56027E-06,3.2393E-06,3.10626E-06,3.24315E-06,2.87297E-06,3.62534E-06,3.16197E-06,3.6937E-06,4.54067E-06,0.55755975,0.39422475
Rabggtb;Snord45c,4.78514E-05,3.46161E-05,3.22241E-05,3.17459E-05,2.90351E-05,3.19042E-05,3.24994E-05,0.000036256,3.232E-05,1.61406E-05,4.33945E-06,3.06902E-06,2.9633E-06,2.49719E-06,3.0907E-06,3.30803E-06,6.62857E-06,5.42556E-06,0.71377002,0.44175293
Rabif,1.31465E-05,1.84824E-05,1.72449E-05,1.73457E-05,1.80234E-05,1.88306E-05,1.9708E-05,2.05184E-05,2.74005E-05,3.64215E-06,3.02503E-06,2.07715E-06,1.89466E-06,2.18411E-06,2.44981E-06,3.1616E-06,4.39837E-06,8.00052E-06,0.77179881,0.44788739
Rabl2;Rabl2a,2.98693E-06,1.0158E-06,1.34658E-06,9.07648E-07,7.24408E-07,1.44435E-06,1.30707E-06,1.31451E-06,9.70727E-07,2.84339E-06,4.86732E-07,4.61676E-07,2.98249E-07,2.34306E-07,5.99027E-07,5.15755E-07,8.25569E-07,5.9182E-07,0.86051752,0.45118302
Rabl3,1.12139E-05,1.95059E-05,1.42003E-05,1.22259E-05,1.29176E-05,1.00526E-05,1.20963E-05,1.13333E-05,9.26008E-06,4.08793E-06,5.54782E-06,2.27308E-06,1.64371E-06,1.99179E-06,1.68533E-06,2.01533E-06,2.20397E-06,1.8818E-06,0.39656627,0.34238597
Rabl5,2.1782E-06,4.78156E-06,4.88884E-06,3.80627E-06,2.92739E-06,2.36407E-06,3.02638E-06,3.3383E-06,2.98029E-06,1.53688E-06,1.61224E-06,1.39107E-06,9.84715E-07,7.46345E-07,6.2242E-07,7.84736E-07,9.48276E-07,9.05029E-07,0.58821081,0.40268971
Rac1,0.000125641,0.000106488,0.000103403,0.000100726,9.71403E-05,8.70914E-05,9.68205E-05,9.5312E-05,9.01287E-05,2.11545E-05,6.88879E-06,5.57947E-06,5.15603E-06,5.34353E-06,5.25866E-06,6.97171E-06,7.73811E-06,8.13907E-06,0.009407172,0.033100935
Rac2,2.6388E-06,2.25045E-06,2.62809E-06,6.68535E-06,6.21641E-06,7.88371E-06,6.99329E-06,7.33064E-06,5.36366E-06,2.16941E-06,6.42787E-07,6.49963E-07,2.81825E-06,1.67448E-06,2.47244E-06,2.21443E-06,3.33904E-06,2.10234E-06,0.436828,0.35557183
Rac3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Racgap1,2.47264E-08,6.32564E-07,1.78353E-06,2.66278E-06,2.74396E-06,4.11099E-06,3.73193E-07,3.76609E-08,1.0259E-07,2.36627E-08,4.87214E-07,1.43136E-06,1.59291E-06,1.52824E-06,3.9329E-06,2.81187E-07,3.69406E-08,9.33844E-08,0.97870287,0.46561151
Rad1,6.34666E-06,4.96009E-06,3.17957E-06,2.67109E-06,3.09019E-06,3.04311E-06,2.13145E-06,1.30329E-06,1.1728E-06,4.07028E-06,1.98645E-06,7.59315E-07,5.64073E-07,7.84976E-07,8.8652E-07,6.28427E-07,4.51182E-07,3.78559E-07,0.69976746,0.43761948
Rad17,9.13935E-06,1.43907E-05,1.73341E-05,1.60083E-05,1.49656E-05,1.48099E-05,1.50713E-05,1.18922E-05,1.23672E-05,3.77312E-06,2.22238E-06,2.26681E-06,1.9434E-06,2.06657E-06,2.36704E-06,2.87577E-06,1.88588E-06,2.4914E-06,0.044862127,0.098676094
Rad18;Rad18sc,3.33324E-08,7.16463E-07,9.95149E-07,2.19226E-06,3.34689E-06,3.62232E-06,4.06891E-06,3.22805E-06,3.20296E-06,2.69536E-08,4.40558E-07,4.13034E-07,7.50424E-07,1.23403E-06,1.4067E-06,1.96276E-06,1.56216E-06,1.30067E-06,0.89578119,0.45191541
Rad21,2.10108E-05,2.02392E-05,1.97774E-05,2.13973E-05,2.07136E-05,2.5893E-05,2.43335E-05,1.9841E-05,1.82101E-05,6.30583E-06,3.52669E-06,2.7892E-06,3.26384E-06,2.81555E-06,3.70195E-06,3.63015E-06,2.91766E-06,2.51526E-06,0.97558317,0.46476535
Rad23a,9.67747E-06,1.4956E-05,1.33833E-05,1.17947E-05,1.05428E-05,1.01582E-05,9.46719E-06,1.23749E-05,1.28884E-05,3.32224E-06,2.74431E-06,2.03208E-06,2.0604E-06,1.47586E-06,1.67414E-06,1.70067E-06,4.55501E-06,5.24016E-06,0.07069828,0.13214976
Rad23b,0.00011501,6.48562E-05,5.84007E-05,5.81605E-05,5.43918E-05,6.31469E-05,6.20562E-05,5.80015E-05,5.4041E-05,4.44783E-05,6.91304E-06,4.07074E-06,4.62391E-06,4.2885E-06,6.30773E-06,5.76874E-06,5.65259E-06,5.80873E-06,0.4527945,0.36292135
Rad50,1.49079E-05,8.10724E-06,7.79498E-06,1.07944E-05,1.05892E-05,9.60816E-06,9.86009E-06,1.01291E-05,9.3685E-06,5.45736E-06,1.87204E-06,1.26934E-06,2.28411E-06,1.72918E-06,1.724E-06,2.05481E-06,2.54152E-06,2.4286E-06,0.90125996,0.45257902
Rad51,1.05584E-09,1.67191E-07,9.81924E-07,9.81167E-07,9.98351E-07,1.21262E-06,1.50173E-06,1.78563E-06,1.24436E-06,8.28018E-10,1.09152E-07,6.63638E-07,6.79729E-07,5.99449E-07,6.52073E-07,9.02041E-07,1.25681E-06,9.46862E-07,0.95758567,0.45960744
Rad51ap1,5.58616E-11,1.03326E-08,1.27718E-07,5.00449E-07,7.47402E-07,5.95228E-07,4.54056E-08,7.72333E-10,4.41938E-12,5.8202E-11,8.96257E-09,1.09156E-07,4.24906E-07,6.65336E-07,5.56003E-07,4.41114E-08,7.78925E-10,4.27561E-12,0.37310371,0.33397641
Rad51ap2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Rad51c,1.57184E-06,6.29165E-07,8.13877E-07,1.2467E-06,1.08582E-06,1.80118E-06,2.26934E-06,1.95495E-06,2.1734E-06,1.57582E-06,3.83408E-07,4.00057E-07,5.82004E-07,5.2026E-07,8.60732E-07,8.79543E-07,9.62536E-07,1.09633E-06,0.8856284,0.45191541
Rad51l1,4.66688E-05,2.66377E-05,3.13917E-05,2.98357E-05,2.56228E-05,2.31978E-05,2.20305E-05,1.88541E-05,1.81294E-05,1.2525E-05,3.53075E-06,3.71689E-06,2.99751E-06,2.81557E-06,2.67907E-06,2.65167E-06,4.74326E-06,3.65008E-06,0.003733135,0.016266687
Rad51l3;TRAD/RAD51L3,2.47671E-05,1.25121E-05,1.08706E-05,8.67849E-06,9.11967E-06,1.1251E-05,1.32193E-05,1.89498E-05,2.34102E-05,1.15274E-05,2.53861E-06,1.76164E-06,1.3129E-06,1.54109E-06,1.82704E-06,2.61634E-06,4.6386E-06,7.67746E-06,0.24564708,0.26829657
Rad52,3.2987E-07,1.026E-06,1.31104E-06,2.18732E-06,2.97539E-06,2.72398E-06,2.17551E-06,2.11665E-06,1.87397E-06,2.81638E-07,4.1376E-07,3.96306E-07,5.50753E-07,8.34875E-07,8.35748E-07,6.07602E-07,9.13568E-07,6.89818E-07,0.93813217,0.45700709
Rad54l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Rad54l2,2.81362E-05,3.56999E-05,3.28092E-05,3.41462E-05,2.73315E-05,3.09414E-05,2.8896E-05,3.2005E-05,3.12568E-05,6.07132E-06,3.65833E-06,2.92826E-06,4.43733E-06,2.50099E-06,4.11956E-06,2.62186E-06,4.9062E-06,5.5982E-06,0.17203436,0.22124072
Rad9,4.10656E-11,9.19373E-09,5.58554E-08,1.26368E-07,1.12799E-07,3.8849E-08,5.3953E-10,3.52204E-13,0,3.77931E-11,8.42229E-09,5.07839E-08,1.14791E-07,1.0246E-07,3.52207E-08,4.9015E-10,3.21213E-13,0,0.51742868,0.38091629
